match_id,period,n_matches,goal_time,home
3901240,2,377,55,0
3901238,1,377,16,1
3901238,1,377,39,1
3901238,2,377,74,0
3901238,2,377,75,1
3901238,2,377,80,0
3901236,2,377,67,1
3901235,1,377,9,1
3901235,1,377,39,1
3901235,2,377,48,0
3901234,1,377,37,0
3901234,2,377,82,1
3901234,2,377,83,0
3901234,2,377,85,0
3901234,2,377,91,1
3901233,2,377,49,1
3901233,2,377,53,1
3901233,2,377,77,1
3901233,2,377,90,1
3901231,1,377,13,0
3901231,2,377,79,1
3901230,1,377,8,0
3901230,1,377,19,1
3901230,1,377,36,1
3901230,2,377,62,1
3901230,2,377,75,0
3901229,1,377,29,0
3901229,2,377,81,1
3901228,2,377,75,1
3901228,2,377,91,1
3901227,2,377,48,1
3901227,1,377,30,0
3901226,1,377,12,1
3901226,1,377,19,0
3901226,1,377,33,1
3901226,2,377,54,1
3901226,1,377,26,1
3901225,2,377,49,1
3901225,2,377,72,0
3901225,2,377,79,0
3901225,2,377,81,1
3901225,2,377,84,0
3901224,1,377,10,1
3901224,2,377,55,1
3901223,2,377,46,1
3901223,2,377,74,1
3901223,2,377,92,0
3901222,1,377,22,0
3901222,2,377,70,0
3901221,2,377,62,0
3901221,2,377,72,0
3901221,2,377,76,0
3901220,2,377,74,0
3901219,2,377,48,0
3901219,2,377,90,1
3901218,2,377,60,0
3901218,2,377,63,0
3901218,2,377,69,1
3901218,2,377,86,0
3901217,2,377,49,1
3901217,2,377,60,1
3901217,2,377,63,0
3901216,1,377,11,1
3901216,1,377,45,1
3901216,2,377,48,1
3901216,2,377,51,1
3901216,2,377,55,1
3901216,2,377,75,1
3901215,1,377,18,0
3901215,1,377,40,1
3901215,2,377,73,0
3901215,2,377,83,0
3901215,2,377,85,1
3901215,2,377,87,0
3901214,1,377,16,0
3901214,2,377,81,1
3901213,1,377,32,1
3901213,1,377,40,1
3901213,2,377,55,1
3901212,1,377,36,1
3901212,2,377,66,1
3901212,2,377,76,1
3901212,2,377,87,1
3901212,2,377,91,0
3901210,2,377,74,1
3901208,2,377,55,0
3901208,2,377,70,0
3901207,1,377,10,1
3901207,2,377,67,0
3901207,2,377,79,1
3901206,2,377,56,1
3901206,2,377,61,1
3901206,2,377,69,1
3901206,2,377,79,1
3901205,1,377,16,0
3901205,2,377,46,0
3901205,2,377,63,1
3901204,1,377,33,0
3901204,1,377,39,0
3901203,1,377,18,0
3901203,2,377,57,0
3901203,2,377,91,0
3901202,1,377,35,1
3901202,1,377,43,0
3901202,2,377,80,0
3901202,2,377,83,0
3901201,2,377,55,1
3901201,2,377,76,0
3901201,2,377,46,1
3901200,2,377,84,1
3901200,1,377,29,1
3901198,2,377,91,0
3901197,1,377,4,1
3901197,1,377,33,0
3901197,2,377,46,1
3901197,2,377,52,0
3901196,1,377,14,1
3901196,1,377,17,0
3901196,1,377,33,1
3901196,2,377,47,1
3901196,2,377,81,1
3901195,1,377,13,0
3901195,2,377,57,0
3901194,1,377,46,0
3901194,2,377,55,0
3901194,2,377,93,1
3901193,2,377,64,0
3901193,2,377,67,0
3901192,2,377,81,1
3901192,2,377,83,0
3901191,1,377,13,1
3901191,2,377,65,1
3901191,2,377,87,1
3901190,1,377,21,0
3901190,1,377,34,1
3901190,2,377,53,1
3901189,1,377,16,1
3901187,1,377,13,1
3901187,1,377,32,1
3901187,1,377,38,1
3901187,1,377,40,0
3901187,2,377,80,1
3901187,2,377,90,1
3901186,2,377,82,1
3901186,2,377,93,1
3901185,1,377,25,0
3901183,1,377,12,0
3901183,1,377,16,0
3901183,1,377,18,0
3901183,2,377,45,0
3901183,2,377,51,0
3901183,2,377,55,0
3901183,2,377,74,0
3901183,2,377,87,0
3901183,2,377,57,0
3901181,1,377,32,0
3901181,2,377,54,0
3901181,2,377,69,1
3901181,2,377,81,1
3901180,1,377,6,1
3901180,1,377,23,1
3901179,2,377,69,1
3901177,1,377,36,0
3901177,2,377,58,0
3901177,2,377,91,1
3901176,1,377,4,1
3901176,2,377,49,1
3901176,2,377,85,1
3901176,2,377,89,1
3901175,2,377,61,0
3901175,2,377,75,0
3901174,1,377,4,1
3901174,1,377,10,0
3901174,1,377,36,1
3901174,2,377,78,0
3901173,2,377,78,0
3901173,2,377,83,1
3901171,1,377,2,1
3901171,1,377,10,0
3901171,1,377,16,1
3901171,1,377,34,1
3901171,2,377,60,1
3901171,2,377,85,1
3901165,1,377,37,1
3901165,2,377,88,0
3901163,1,377,11,1
3901163,2,377,71,1
3901163,1,377,25,0
3901162,2,377,55,0
3901162,2,377,63,1
3901162,2,377,88,1
3901162,2,377,68,0
3901161,2,377,77,0
3901161,2,377,81,0
3901161,2,377,90,1
3901159,1,377,12,1
3901159,1,377,46,1
3901159,2,377,50,0
3901158,2,377,77,1
3901158,2,377,89,0
3901158,2,377,91,0
3901157,1,377,22,1
3901157,1,377,33,1
3901157,2,377,66,1
3901157,2,377,68,0
3901157,2,377,88,1
3901156,1,377,29,0
3901156,1,377,38,1
3901156,2,377,65,1
3901156,2,377,78,0
3901155,2,377,51,1
3901155,2,377,59,1
3901155,2,377,85,1
3901154,1,377,2,0
3901153,2,377,60,0
3901153,2,377,63,0
3901152,2,377,53,1
3901151,1,377,27,1
3901150,2,377,84,0
3901150,2,377,93,1
3901149,1,377,24,1
3901149,1,377,36,1
3901149,2,377,78,0
3901149,2,377,92,1
3901148,1,377,2,0
3901148,1,377,36,0
3901148,1,377,38,1
3901148,2,377,47,1
3901148,2,377,48,1
3901148,2,377,58,0
3901148,2,377,92,1
3901147,2,377,58,0
3901147,2,377,90,1
