match_id,period,n_matches,goal_time,home
3825669,2,380,72,0
3825669,2,380,57,1
3825668,1,380,17,0
3825668,1,380,26,0
3825668,1,380,43,0
3825666,1,380,6,0
3825665,1,380,4,1
3825665,2,380,58,1
3825667,1,380,26,0
3825667,2,380,84,1
3825664,2,380,72,1
3825664,2,380,76,1
3825662,1,380,22,1
3825662,2,380,93,1
3825888,1,380,7,1
3825888,2,380,56,0
3825663,1,380,5,1
3825663,1,380,19,1
3825659,1,380,7,1
3825659,2,380,50,0
3825659,2,380,63,1
3825658,2,380,92,1
3825660,2,380,59,1
3825660,2,380,69,1
3825660,2,380,84,1
3825661,1,380,21,0
3825661,1,380,35,1
3825661,2,380,60,1
3825661,2,380,73,1
3825661,2,380,92,0
3825656,1,380,21,0
3825656,2,380,52,1
3825657,2,380,63,0
3825652,1,380,27,1
3825652,2,380,50,1
3825623,1,380,32,1
3825623,2,380,87,1
3825623,1,380,18,1
3825626,1,380,3,0
3825626,2,380,50,0
3825626,2,380,54,0
3825626,2,380,88,1
3825616,1,380,3,1
3825616,1,380,6,1
3825616,1,380,13,0
3825616,2,380,88,1
3825608,1,380,2,1
3825608,2,380,75,0
3825601,1,380,39,1
3825601,2,380,47,1
3825601,2,380,48,0
3825899,2,380,47,0
3825899,2,380,58,1
3825899,2,380,67,1
3825899,2,380,83,0
3825852,1,380,2,1
3825852,2,380,47,0
3825647,2,380,63,1
3825647,2,380,71,1
3825647,2,380,79,1
3825637,1,380,9,0
3825637,1,380,20,1
3825637,2,380,47,1
3825637,2,380,84,1
3825628,1,380,2,1
3825628,1,380,10,1
3825628,2,380,85,1
3825628,2,380,92,1
3825619,2,380,82,1
3825618,1,380,6,0
3825618,2,380,61,0
3825611,1,380,26,1
3825611,2,380,46,1
3825611,1,380,13,1
3825598,1,380,3,1
3825598,2,380,89,1
3825584,2,380,48,0
3825584,2,380,50,0
3825584,2,380,73,1
3825584,2,380,90,0
3825570,1,380,21,0
3825570,1,380,34,0
3825570,2,380,49,1
3825570,2,380,66,0
3825904,1,380,36,0
3825904,2,380,72,1
3825901,1,380,25,1
3825901,1,380,41,1
3825901,2,380,54,0
3825901,2,380,58,1
3825901,2,380,80,0
3825898,1,380,20,0
3825898,1,380,29,1
3825893,1,380,40,1
3825893,2,380,68,1
3825893,2,380,75,1
3825892,1,380,6,0
3825892,1,380,32,0
3825892,2,380,78,0
3825886,1,380,6,1
3825886,1,380,13,1
3825886,1,380,34,0
3825886,2,380,51,0
3825886,2,380,80,0
3825885,1,380,14,1
3825885,2,380,70,1
3825881,1,380,39,1
3825881,2,380,81,0
3825880,1,380,42,1
3825880,2,380,49,0
3825880,2,380,84,1
3825879,1,380,23,0
3825879,2,380,86,1
3825879,2,380,88,0
3825878,2,380,54,1
3825877,1,380,27,1
3825877,2,380,76,0
3825874,1,380,34,1
3825874,1,380,44,1
3825874,2,380,49,1
3825874,2,380,59,1
3825874,2,380,80,1
3825873,1,380,13,0
3825873,1,380,32,0
3825872,1,380,36,1
3825872,1,380,41,1
3825872,2,380,64,1
3825872,2,380,78,0
3825872,2,380,80,1
3825872,2,380,90,1
3825870,1,380,12,0
3825870,1,380,37,1
3825870,2,380,71,1
3825868,1,380,15,1
3825868,2,380,68,0
3825868,2,380,75,1
3825865,2,380,49,0
3825865,2,380,79,1
3825864,2,380,79,0
3825862,1,380,27,0
3825862,1,380,38,1
3825861,1,380,11,1
3825861,2,380,49,1
3825861,2,380,68,0
3825859,1,380,2,0
3825859,1,380,11,0
3825859,1,380,12,1
3825859,1,380,21,1
3825859,2,380,70,1
3825856,1,380,4,1
3825856,1,380,17,1
3825856,1,380,18,1
3825856,1,380,38,1
3825854,1,380,42,1
3825854,2,380,81,1
3825853,1,380,45,0
3825853,2,380,72,1
3825853,2,380,78,0
3825853,2,380,85,0
3825853,2,380,87,0
3825851,1,380,31,0
3825851,2,380,56,0
3825850,1,380,30,1
3825845,2,380,51,1
3825844,1,380,33,1
3825844,1,380,43,1
3825844,2,380,49,1
3825844,2,380,84,0
3825806,1,380,40,1
3825806,2,380,49,1
3825806,2,380,57,1
3825806,2,380,61,0
3825806,2,380,63,1
3825806,2,380,75,1
3825806,2,380,76,1
3825806,2,380,80,1
3825802,1,380,9,0
3825802,1,380,19,0
3825802,2,380,70,0
3825679,1,380,24,0
3825679,2,380,81,1
3825655,1,380,2,1
3825655,1,380,9,1
3825655,2,380,51,0
3825654,1,380,12,0
3825654,1,380,23,1
3825654,1,380,44,0
3825654,2,380,45,0
3825654,2,380,63,0
3825654,2,380,78,0
3825653,1,380,15,1
3825653,1,380,21,0
3825653,1,380,28,1
3825653,2,380,60,1
3825651,2,380,57,0
3825651,2,380,93,1
3825650,1,380,7,0
3825650,1,380,44,0
3825650,2,380,66,1
3825650,2,380,86,0
3825649,1,380,26,1
3825648,1,380,20,1
3825765,1,380,42,0
3825765,2,380,63,1
3825766,2,380,48,1
3825764,1,380,29,0
3825764,2,380,59,1
3825764,2,380,84,0
3825760,2,380,45,0
3825760,2,380,55,1
3825760,2,380,62,1
3825760,2,380,90,1
3825763,1,380,2,1
3825763,2,380,73,1
3825762,1,380,31,1
3825762,1,380,40,0
3825759,1,380,8,1
3825759,1,380,23,1
3825759,1,380,42,1
3825758,1,380,7,0
3825758,1,380,18,1
3825758,1,380,22,0
3825758,2,380,45,1
3825756,1,380,0,1
3825756,2,380,46,1
3825756,2,380,54,0
3825756,2,380,75,1
3825755,2,380,49,0
3825754,1,380,4,0
3825754,1,380,32,1
3825754,2,380,89,1
3825750,1,380,17,1
3825750,1,380,32,1
3825750,2,380,50,0
3825752,1,380,44,0
3825752,2,380,90,0
3825752,2,380,93,1
3825751,1,380,23,0
3825753,2,380,54,1
3825749,1,380,24,1
3825749,2,380,46,1
3825749,2,380,48,0
3825749,2,380,62,1
3825749,2,380,65,0
